번호,단어,뜻
1313,good,좋은
1314,bad,나쁜
1315,new,새로운
1316,old,오래된
1317,long,긴
1318,short,짧은
1319,happy,행복한
1320,sad,슬픈
1321,easy,쉬운
1322,hard,어려운
1323,true,사실인
1324,false,거짓인
1325,all,모든
1326,some,약간의
1327,any,어떤
1328,no,아무것도 ~ 않다
1329,one,하나
1330,two,둘
1331,three,셋
1332,I,나는
1333,you,너는
1334,he,그는
1335,she,그녀는
1336,it,그것은
1337,we,우리는
1338,they,그들은
1339,my,나의
1340,your,너의
1341,his,그의
1342,her,그녀의
1343,its,그것의
1344,our,우리의
1345,their,그들의
1346,to,~에게
1347,of,~의
1348,in,~ 안에
1349,on,~ 위에
1350,at,~에
1351,with,~와 함께
1352,from,~로부터
1353,for,~을 위해
1354,about,~에 대해
1355,and,그리고
1356,or,또는
1357,but,그러나
1358,because,~ 때문에
1359,if,만약 ~라면
1360,when,~할 때
1361,where,~하는 곳
1362,how,어떻게
1363,what,무엇
1364,who,누구
1365,which,어느 것
1366,to,~에게
1367,of,~의
1368,in,~ 안에
1369,on,~ 위에
1370,at,~에
1371,with,~와 함께
1372,from,~로부터
1373,for,~을 위해
1374,about,~에 대해
1375,up,위로
1376,down,아래로
1377,now,지금
1378,then,그때
1379,here,여기
1380,there,저기
1381,very,매우
1382,too,너무
1383,always,항상
1384,never,결코 ~ 않다
1385,all,모든
1386,some,약간의
1387,any,어떤
1388,no,아무것도 ~ 않다
1389,one,하나
1390,two,둘
1391,three,셋
1392,first,첫 번째
1393,last,마지막
1394,next,다음의
1395,early,일찍
1396,late,늦게
1397,big,큰
1398,small,작은
1399,good,좋은
1400,bad,나쁜
1401,new,새로운
1402,old,오래된
1403,long,긴
1404,short,짧은
1405,happy,행복한
1406,sad,슬픈
1407,easy,쉬운
1408,hard,어려운
1409,true,사실인
1410,false,거짓인
1411,I,나는
1412,you,너는
1413,he,그는
1414,she,그녀는
1415,it,그것은
1416,we,우리는
1417,they,그들은
1418,to,~에게
1419,of,~의
1420,in,~ 안에
1421,on,~ 위에
1422,at,~에
1423,with,~와 함께
1424,from,~로부터
1425,for,~을 위해
1426,about,~에 대해
1427,and,그리고
1428,or,또는
1429,but,그러나
1430,because,~ 때문에
1431,if,만약 ~라면
1432,when,~할 때
1433,where,~하는 곳
1434,how,어떻게
1435,what,무엇
1436,who,누구
1437,which,어느 것
1438,up,위로
1439,down,아래로
1440,now,지금
1441,then,그때
1442,here,여기
1443,there,저기
1444,very,매우
1445,too,너무
1446,always,항상
1447,never,결코 ~ 않다
1448,all,모든
1449,some,약간의
1450,any,어떤
1451,no,아무것도 ~ 않다
1452,one,하나
1453,two,둘
1454,three,셋
1455,first,첫 번째
1456,last,마지막
1457,next,다음의
1458,early,일찍
1459,late,늦게
1460,big,큰
1461,small,작은
1462,good,좋은
1463,bad,나쁜
1464,new,새로운
1465,old,오래된
1466,long,긴
1467,short,짧은
1468,happy,행복한
1469,sad,슬픈
1470,easy,쉬운
1471,hard,어려운
1472,true,사실인
1473,false,거짓인
1474,be,"이다, 있다"
1475,have,가지다
1476,do,하다
1477,make,만들다
1478,get,얻다
1479,go,가다
1480,come,오다
1481,take,가져가다
1482,give,주다
1483,put,놓다
1484,say,말하다
1485,tell,말하다
1486,speak,말하다
1487,talk,말하다
1488,write,쓰다
1489,read,읽다
1490,know,알다
1491,think,생각하다
1492,understand,이해하다
1493,feel,느끼다
1494,look,보다
1495,listen,듣다
1496,want,원하다
1497,need,필요하다
1498,like,좋아하다
1499,love,사랑하다
1500,hate,미워하다
1501,day,하루
1502,night,밤
1503,morning,아침
1504,afternoon,오후
1505,evening,저녁
1506,today,오늘
1507,yesterday,어제
1508,tomorrow,내일
1509,week,주
1510,weekend,주말
1511,month,월
1512,year,년
1513,time,시간
1514,hour,시간
1515,minute,분
1516,second,초
1517,date,날짜
1518,sun,태양
1519,moon,달
1520,star,별
1521,sky,하늘
1522,cloud,구름
1523,rain,비
1524,snow,눈
1525,wind,바람
1526,air,공기
1527,water,물
1528,fire,불
1529,earth,지구
1530,nature,자연
1531,tree,나무
1532,flower,꽃
1533,animal,동물
1534,bird,새
1535,fish,물고기
1536,person,사람
1537,man,남자
1538,woman,여자
1539,child,어린이
1540,family,가족
1541,friend,친구
1542,home,집
1543,room,방
1544,bed,침대
1545,table,탁자
1546,chair,의자
1547,door,문
1548,window,창문
1549,car,자동차
1550,bus,버스
1551,train,기차
1552,plane,비행기
1553,road,도로
1554,street,거리
1555,city,도시
1556,country,나라
1557,school,학교
1558,work,일
1559,money,돈
1560,food,음식
1561,drink,음료
1562,music,음악
1563,book,책
1564,movie,영화
1565,sport,스포츠
1566,game,게임
1567,talk,말하다
1568,write,쓰다
1569,read,읽다
1570,know,알다
1571,think,생각하다
1572,understand,이해하다
1573,feel,느끼다
1574,look,보다
1575,listen,듣다
1576,be,"이다, 있다"
1577,have,가지다
1578,do,하다
1579,make,만들다
1580,get,얻다
1581,go,가다
1582,come,오다
1583,take,가져가다
1584,give,주다
1585,put,놓다
1586,say,말하다
1587,tell,말하다
1588,speak,말하다
1589,want,원하다
1590,need,필요하다
1591,like,좋아하다
1592,love,사랑하다
1593,first,첫 번째
1594,last,마지막
1595,next,다음의
1596,early,일찍
1597,late,늦게
1598,always,항상
1599,often,종종
1600,sometimes,때때로
1601,never,결코 ~ 않다
1602,now,지금
1603,then,그때
1604,here,여기
1605,there,저기
1606,up,위로
1607,down,아래로
1608,in,안에
1609,out,밖에
1610,on,위에
1611,off,떨어져서
1612,big,큰
1613,small,작은
1614,good,좋은
1615,bad,나쁜
1616,new,새로운
1617,old,오래된
1618,long,긴
1619,short,짧은
1620,happy,행복한
1621,sad,슬픈
1622,easy,쉬운
1623,hard,어려운
1624,true,사실인
1625,false,거짓인
1626,I,나는
1627,you,너는
1628,he,그는
1629,she,그녀는
1630,it,그것은
1631,we,우리는
1632,they,그들은
1633,my,나의
1634,your,너의
1635,his,그의
1636,her,그녀의
1637,its,그것의
1638,our,우리의
1639,their,그들의
1640,me,나를
1641,you,너를
1642,him,그를
1643,her,그녀를
1644,it,그것을
1645,us,우리를
1646,them,그들을
1647,a,하나의
1648,the,그
1649,one,하나
1650,two,둘
1651,three,셋
1652,first,첫 번째
1653,last,마지막
1654,next,다음의
1655,early,이른
1656,late,늦은
1657,always,항상
1658,never,결코 ~ 않다
1659,now,지금
1660,then,그때
1661,here,여기
1662,there,저기
1663,up,위로
1664,down,아래로
1665,in,안에
1666,out,밖에
1667,on,위에
1668,off,떨어져서
1669,with,~와 함께
1670,from,~로부터
1671,for,~을 위해
1672,about,~에 대해
1673,and,그리고
1674,or,또는
1675,but,그러나
1676,because,~ 때문에
1677,if,만약 ~라면
1678,when,~할 때
1679,where,~하는 곳
1680,how,어떻게
1681,what,무엇
1682,who,누구
1683,which,어느 것
1684,all,모든
1685,some,약간의
1686,any,어떤
1687,no,아무것도 ~ 않다
1688,big,큰
1689,small,작은
1690,good,좋은
1691,bad,나쁜
1692,new,새로운
1693,old,오래된
1694,long,긴
1695,short,짧은
1696,happy,행복한
1697,sad,슬픈
1698,easy,쉬운
1699,hard,어려운
1700,true,사실인
1701,false,거짓인
1702,be,"이다, 있다"
1703,have,가지다
1704,do,하다
1705,make,만들다
1706,get,얻다
1707,go,가다
1708,come,오다
1709,take,가져가다
1710,give,주다
1711,put,놓다
1712,say,말하다
1713,tell,말하다
1714,speak,말하다
1715,talk,말하다
1716,write,쓰다
1717,read,읽다
1718,know,알다
1719,think,생각하다
1720,understand,이해하다
1721,feel,느끼다
1722,look,보다
1723,listen,듣다
1724,want,원하다
1725,need,필요하다
1726,like,좋아하다
1727,love,사랑하다
1728,day,하루
1729,night,밤
1730,morning,아침
1731,afternoon,오후
1732,evening,저녁
1733,today,오늘
1734,yesterday,어제
1735,tomorrow,내일
1736,week,주
1737,weekend,주말
1738,month,월
1739,year,년
1740,time,시간
1741,hour,시간
1742,minute,분
1743,second,초
1744,date,날짜
1745,sun,태양
1746,moon,달
1747,star,별
1748,sky,하늘
1749,cloud,구름
1750,rain,비
1751,snow,눈
1752,wind,바람
1753,air,공기
1754,water,물
1755,fire,불
1756,earth,지구
1757,nature,자연
1758,tree,나무
1759,flower,꽃
1760,animal,동물
1761,bird,새
1762,fish,물고기
1763,person,사람
1764,man,남자
1765,woman,여자
1766,child,어린이
1767,family,가족
1768,friend,친구
1769,home,집
1770,room,방
1771,bed,침대
1772,table,탁자
1773,chair,의자
1774,door,문
1775,window,창문
1776,car,자동차
1777,bus,버스
1778,train,기차
1779,plane,비행기
1780,road,도로
1781,street,거리
1782,city,도시
1783,country,나라
1784,school,학교
1785,work,일
1786,money,돈
1787,food,음식
1788,drink,음료
1789,music,음악
1790,book,책
1791,movie,영화
1792,sport,스포츠
1793,game,게임
1794,talk,말하다
1795,write,쓰다
1796,read,읽다
1797,know,알다
1798,think,생각하다
1799,understand,이해하다
1800,feel,느끼다
1801,look,보다
1802,listen,듣다
1803,want,원하다
1804,need,필요하다
1805,like,좋아하다
1806,love,사랑하다
1807,first,첫 번째
1808,last,마지막
1809,next,다음의
1810,early,일찍
1811,late,늦게
1812,always,항상
1813,often,종종
1814,sometimes,때때로
1815,never,결코 ~ 않다
1816,now,지금
1817,then,그때
1818,here,여기
1819,there,저기
1820,up,위로
1821,down,아래로
1822,in,안에
1823,out,밖에
1824,on,위에
1825,off,떨어져서
1826,with,~와 함께
1827,from,~로부터
1828,for,~을 위해
1829,about,~에 대해
1830,and,그리고
1831,or,또는
1832,but,그러나
1833,because,~ 때문에
1834,if,만약 ~라면
1835,when,~할 때
1836,where,~하는 곳
1837,how,어떻게
1838,what,무엇
1839,who,누구
1840,which,어느 것
1841,all,모든
1842,some,약간의
1843,any,어떤
1844,no,아무것도 ~ 않다
1845,big,큰
1846,small,작은
1847,good,좋은
1848,bad,나쁜
1849,new,새로운
1850,old,오래된
1851,long,긴
1852,short,짧은
1853,happy,행복한
1854,sad,슬픈
1855,easy,쉬운
1856,hard,어려운
1857,true,사실인
1858,false,거짓인
1859,I,나는
1860,you,너는
1861,he,그는
1862,she,그녀는
1863,it,그것은
1864,we,우리는
1865,they,그들은
1866,my,나의
1867,your,너의
1868,his,그의
1869,her,그녀의
1870,its,그것의
1871,our,우리의
1872,their,그들의
1873,me,나를
1874,you,너를
1875,him,그를
1876,her,그녀를
1877,it,그것을
1878,us,우리를
1879,them,그들을
1880,a,하나의
1881,the,그
1882,one,하나
1883,two,둘
1884,three,셋
1885,first,첫 번째
1886,last,마지막
1887,next,다음의
1888,early,이른
1889,late,늦은
1890,always,항상
1891,never,결코 ~ 않다
1892,now,지금
1893,then,그때
1894,here,여기
1895,there,저기
1896,up,위로
1897,down,아래로
1898,in,안에
1899,out,밖에
1900,on,위에
1901,off,떨어져서
1902,with,~와 함께
1903,from,~로부터
1904,for,~을 위해
1905,about,~에 대해
1906,and,그리고
1907,or,또는
1908,but,그러나
1909,because,~ 때문에
1910,if,만약 ~라면
1911,when,~할 때
1912,where,~하는 곳
1913,how,어떻게
1914,what,무엇
1915,who,누구
1916,which,어느 것
1917,all,모든
1918,some,약간의
1919,any,어떤
1920,no,아무것도 ~ 않다
1921,big,큰
1922,small,작은
1923,good,좋은
1924,bad,나쁜
1925,new,새로운
1926,old,오래된
1927,long,긴
1928,short,짧은
1929,happy,행복한
1930,sad,슬픈
1931,easy,쉬운
1932,hard,어려운
1933,true,사실인
1934,false,거짓인
1935,be,"이다, 있다"
1936,have,가지다
1937,do,하다
1938,make,만들다
1939,get,얻다
1940,go,가다
1941,come,오다
1942,take,가져가다
1943,give,주다
1944,put,놓다
1945,say,말하다
1946,tell,말하다
1947,speak,말하다
1948,talk,말하다
1949,write,쓰다
1950,read,읽다
1951,know,알다
1952,think,생각하다
1953,understand,이해하다
1954,feel,느끼다
1955,look,보다
1956,listen,듣다
1957,want,원하다
1958,need,필요하다
1959,like,좋아하다
1960,love,사랑하다
1961,first,첫 번째
1962,last,마지막
1963,next,다음의
1964,early,일찍
1965,late,늦게
1966,always,항상
1967,often,종종
1968,sometimes,때때로
1969,never,결코 ~ 않다
1970,now,지금
1971,then,그때
1972,here,여기
1973,there,저기
1974,up,위로
1975,down,아래로
1976,in,안에
1977,out,밖에
1978,on,위에
1979,off,떨어져서
1980,with,~와 함께
1981,from,~로부터
1982,for,~을 위해
1983,about,~에 대해
1984,and,그리고
1985,or,또는
1986,but,그러나
1987,because,~ 때문에
1988,if,만약 ~라면
1989,when,~할 때
1990,where,~하는 곳
1991,how,어떻게
1992,what,무엇
1993,who,누구
1994,which,어느 것
1995,all,모든
1996,some,약간의
1997,any,어떤
1998,no,아무것도 ~ 않다
1999,big,큰
2000,small,작은
2001,good,좋은
2002,bad,나쁜
2003,new,새로운
2004,old,오래된
2005,long,긴
2006,short,짧은
2007,happy,행복한
2008,sad,슬픈
2009,easy,쉬운
2010,hard,어려운
2011,true,사실인
2012,false,거짓인
2013,be,"이다, 있다"
2014,have,가지다
2015,do,하다
2016,make,만들다
2017,get,얻다
2018,go,가다
2019,come,오다
2020,take,가져가다
2021,give,주다
2022,put,놓다
2023,say,말하다
2024,tell,말하다
2025,speak,말하다
2026,talk,말하다
2027,write,쓰다
2028,read,읽다
2029,know,알다
2030,think,생각하다
2031,understand,이해하다
2032,feel,느끼다
2033,look,보다
2034,listen,듣다
2035,want,원하다
2036,need,필요하다
2037,like,좋아하다
2038,love,사랑하다
2039,first,첫 번째
2040,last,마지막
2041,next,다음의
2042,early,일찍
2043,late,늦게
2044,always,항상
2045,often,종종
2046,sometimes,때때로
2047,never,결코 ~ 않다
2048,now,지금
2049,then,그때
2050,here,여기
2051,there,저기
2052,up,위로
2053,down,아래로
2054,in,안에
2055,out,밖에
2056,on,위에
2057,off,떨어져서
2058,with,~와 함께
2059,from,~로부터
2060,for,~을 위해
2061,about,~에 대해
2062,and,그리고
2063,or,또는
2064,but,그러나
2065,because,~ 때문에
2066,if,만약 ~라면
2067,when,~할 때
2068,where,~하는 곳
2069,how,어떻게
2070,what,무엇
2071,who,누구
2072,which,어느 것
2073,all,모든
2074,some,약간의
2075,any,어떤
2076,no,아무것도 ~ 않다
2077,big,큰
2078,small,작은
2079,good,좋은
2080,bad,나쁜
2081,new,새로운
2082,old,오래된
2083,long,긴
2084,short,짧은
2085,happy,행복한
2086,sad,슬픈
2087,easy,쉬운
2088,hard,어려운
2089,true,사실인
2090,false,거짓인
2091,be,"이다, 있다"
2092,have,가지다
2093,do,하다
2094,make,만들다
2095,get,얻다
2096,go,가다
2097,come,오다
2098,take,가져가다
2099,give,주다
2100,put,놓다
2101,say,말하다
2102,tell,말하다
2103,speak,말하다
2104,talk,말하다
2105,write,쓰다
2106,read,읽다
2107,know,알다
2108,think,생각하다
2109,understand,이해하다
2110,feel,느끼다
2111,look,보다
2112,listen,듣다
2113,want,원하다
2114,need,필요하다
2115,like,좋아하다
2116,love,사랑하다
2117,first,첫 번째
2118,last,마지막
2119,next,다음의
2120,early,일찍
2121,late,늦게
2122,always,항상
2123,often,종종
2124,sometimes,때때로
2125,never,결코 ~ 않다
2126,now,지금
2127,then,그때
2128,here,여기
2129,there,저기
2130,up,위로
2131,down,아래로
2132,in,안에
2133,out,밖에
2134,on,위에
2135,off,떨어져서
2136,with,~와 함께
2137,from,~로부터
2138,for,~을 위해
2139,about,~에 대해
2140,and,그리고
2141,or,또는
2142,but,그러나
2143,because,~ 때문에
2144,if,만약 ~라면
2145,when,~할 때
2146,where,~하는 곳
2147,how,어떻게
2148,what,무엇
2149,who,누구
2150,which,어느 것
2151,all,모든
2152,some,약간의
2153,any,어떤
2154,no,아무것도 ~ 않다
2155,big,큰
2156,small,작은
2157,good,좋은
2158,bad,나쁜
2159,new,새로운
2160,old,오래된
2161,long,긴
2162,short,짧은
2163,happy,행복한
2164,sad,슬픈
2165,easy,쉬운
2166,hard,어려운
2167,true,사실인
2168,false,거짓인
2169,be,"이다, 있다"
2170,have,가지다
2171,do,하다
2172,make,만들다
2173,get,얻다
2174,go,가다
2175,come,오다
2176,take,가져가다
2177,give,주다
2178,put,놓다
2179,say,말하다
2180,tell,말하다
2181,speak,말하다
2182,talk,말하다
2183,write,쓰다
2184,read,읽다
2185,know,알다
2186,think,생각하다
2187,understand,이해하다
2188,feel,느끼다
2189,look,보다
2190,listen,듣다
2191,want,원하다
2192,need,필요하다
2193,like,좋아하다
2194,love,사랑하다
2195,first,첫 번째
2196,last,마지막
2197,next,다음의
2198,early,일찍
2199,late,늦게
2200,always,항상
2201,often,종종
2202,sometimes,때때로
2203,never,결코 ~ 않다
2204,now,지금
2205,then,그때
2206,here,여기
2207,there,저기
2208,up,위로
2209,down,아래로
2210,in,안에
2211,out,밖에
2212,on,위에
2213,off,떨어져서
2214,with,~와 함께
2215,from,~로부터
2216,for,~을 위해
2217,about,~에 대해
2218,and,그리고
2219,or,또는
2220,but,그러나
2221,because,~ 때문에
2222,if,만약 ~라면
2223,when,~할 때
2224,where,~하는 곳
2225,how,어떻게
2226,what,무엇
2227,who,누구
2228,which,어느 것
2229,all,모든
2230,some,약간의
2231,any,어떤
2232,no,아무것도 ~ 않다
2233,big,큰
2234,small,작은
2235,good,좋은
2236,bad,나쁜
2237,new,새로운
2238,old,오래된
2239,long,긴
2240,short,짧은
2241,happy,행복한
2242,sad,슬픈
2243,easy,쉬운
2244,hard,어려운
2245,true,사실인
2246,false,거짓인
2247,be,"이다, 있다"
2248,have,가지다
2249,do,하다
2250,make,만들다
2251,get,얻다
2252,go,가다
2253,come,오다
2254,take,가져가다
2255,give,주다
2256,put,놓다
2257,say,말하다
2258,tell,말하다
2259,speak,말하다
2260,talk,말하다
2261,write,쓰다
2262,read,읽다
2263,know,알다
2264,think,생각하다
2265,understand,이해하다
2266,feel,느끼다
2267,look,보다
2268,listen,듣다
2269,want,원하다
2270,need,필요하다
2271,like,좋아하다
2272,love,사랑하다
2273,first,첫 번째
2274,last,마지막
2275,next,다음의
2276,early,일찍
2277,late,늦게
2278,always,항상
2279,often,종종
2280,sometimes,때때로
2281,never,결코 ~ 않다
2282,now,지금
2283,then,그때
2284,here,여기
2285,there,저기
2286,up,위로
2287,down,아래로
2288,in,안에
2289,out,밖에
2290,on,위에
2291,off,떨어져서
2292,with,~와 함께
2293,from,~로부터
2294,for,~을 위해
2295,about,~에 대해
2296,and,그리고
2297,or,또는
2298,but,그러나
2299,because,~ 때문에
3000,if,만약 ~라면
3001,when,~할 때
3002,where,~하는 곳
3003,how,어떻게
3004,what,무엇
3005,who,누구
3006,which,어느 것
3007,all,모든
3008,some,약간의
3009,any,어떤
3010,no,아무것도 ~ 않다
3011,big,큰
3012,small,작은
3013,good,좋은
3014,bad,나쁜
3015,new,새로운
3016,old,오래된
3017,long,긴
3018,short,짧은
3019,happy,행복한
3020,sad,슬픈
3021,easy,쉬운
3022,hard,어려운
3023,true,사실인
3024,false,거짓인
3025,be,"이다, 있다"
3026,have,가지다
3027,do,하다
3028,make,만들다
3029,get,얻다
3030,go,가다
3031,come,오다
3032,take,가져가다
3033,give,주다
3034,put,놓다
3035,say,말하다
3036,tell,말하다
3037,speak,말하다
3038,talk,말하다
3039,write,쓰다
3040,read,읽다
3041,know,알다
3042,think,생각하다
3043,understand,이해하다
3044,feel,느끼다
3045,look,보다
3046,listen,듣다
3047,want,원하다
3048,need,필요하다
3049,like,좋아하다
3050,love,사랑하다
3051,first,첫 번째
3052,last,마지막
3053,next,다음의
3054,early,일찍
3055,late,늦게
3056,always,항상
3057,often,종종
3058,sometimes,때때로
3059,never,결코 ~ 않다
3060,now,지금
3061,then,그때
3062,when,~할 때에
3063,while,~하는 동안에
3064,the first time,처음 ~할 때에
3065,as soon as,~하자마자
3066,and then,"그러고는, 그런 다음"
3067,as,~하는 동안에
3068,before,(시간상으로) ~ 전에
3069,after,~ 후에는
3070,as long as,"~이기만 하면, ~하는 한"
3071,if,만약 ~면
3072,if not,그렇지 않다면
3073,although,(비록) ~이긴 하지만
3074,except,~을 제외하면
3075,because,~ 때문에
3076,for,왜냐하면 ~이므로
3077,and,그리고
3078,but,그러나
3079,or,또는
3080,so,그래서
3081,though,비록 ~지만
3082,both A and B,A와 B 둘 다
3083,not A but B,A가 아니라 B
3084,not only A but also B,A뿐만 아니라 B도
3085,B as well as A,A뿐만 아니라 B도
3086,either A or B,"A, B 둘 중 하나"
3087,neither A nor B,"A, B 둘 다 ~ 않다"
3088,than,~보다 (더)
3089,as,~만큼 (…한/하게)
